sstart,ssample_end_date,selected_features
92,2020-04-01,"target, Agriculture_lag3, budget_lag1, Volvo, Army, Finance...11, Finance...30, online_lag2"
93,2020-05-01,"target, Agriculture_lag3, Army, online_lag2, Finance...11, Finance...30, budget_lag1, Volvo"
94,2020-06-01,"target, Agriculture_lag3, Small.busines_lag1, Volvo, budget_lag1, Army, Finance...30, Finance...11"
95,2020-07-01,"target, Agriculture_lag3, Small.busines_lag1, online, Volvo, Finance...30, Finance...11, budget_lag1"
96,2020-08-01,"target, Agriculture_lag3, Small.busines_lag1, online, Volvo, budget_lag1, Army, online_lag2"
97,2020-09-01,"target, Agriculture_lag3, Small.busines_lag1, budget_lag1, online, Volvo, Army, trade"
98,2020-10-01,"target, Agriculture_lag3, online, budget_lag1, Small.busines_lag1, online_lag2, online.business_lag1, Property.management"
99,2020-11-01,"target, Agriculture_lag3, Small.busines_lag1, Army, online, budget_lag1, online_lag2, online.business_lag1"
100,2020-12-01,"target, Agriculture_lag3, Small.busines_lag1, Army, budget_lag1, online_lag2, online, Electricity_lag2"
101,2021-01-01,"target, Agriculture_lag3, budget_lag1, Small.busines_lag1, online_lag2, Army, Mining, online"
102,2021-02-01,"target, Agriculture_lag3, online_lag2, Mining, budget_lag1, Small.busines_lag1, online, Electricity_lag2"
103,2021-03-01,"target, Agriculture_lag3, Mining, online_lag2, budget_lag1, loan_lag2, Electricity_lag2, Export_lag3"
104,2021-04-01,"target, Agriculture_lag3, Mining, loan_lag2, online_lag2, trade_lag2, Property.management, Electricity_lag2"
105,2021-05-01,"target, Agriculture_lag3, Mining, loan_lag2, trade_lag2, Export_lag3, Electricity_lag2, budget_lag1"
106,2021-06-01,"target, Agriculture_lag3, Mining, loan_lag2, trade_lag2, Export_lag3, Electricity_lag2, budget_lag1"
107,2021-07-01,"target, Agriculture_lag3, Mining, trade_lag2, loan_lag2, Export_lag3, Electricity_lag2, Audi_lag3"
108,2021-08-01,"target, Agriculture_lag3, trade_lag2, Mining, loan_lag2, Audi_lag3, Export_lag3, Electricity_lag2"
