sstart,ssample_end_date,selected_features
10,2013-06-01,"target, EX_ENER_BP_new, TSX_LO_lag1, TSX_HI_lag1, EX_METAL_BP_new, G_AVG_3.5.Bank_rate_lag2, TBILL_6M.Bank_rate_lag1, IPPI_METAL_CAN_lag2"
11,2013-07-01,"target, EX_ENER_BP_new, EX_METAL_BP_new, G_AVG_3.5.Bank_rate_lag2, G_AVG_5.10.Bank_rate_lag3, EOIL_BP_new, G_AVG_5.10.Bank_rate_lag2, TBILL_6M.Bank_rate_lag1"
12,2013-08-01,"target, EX_ENER_BP_new, G_AVG_3.5.Bank_rate_lag2, EX_METAL_BP_new, EMP_MANU_CAN, G_AVG_5.10.Bank_rate_lag2, CAN_SEC_NETFLOW, TBILL_6M.Bank_rate_lag1"
13,2013-09-01,"target, G_AVG_3.5.Bank_rate_lag2, EX_ENER_BP_new, EX_METAL_BP_new, G_AVG_5.10.Bank_rate_lag2, G_AVG_3.5.Bank_rate_lag1, G_AVG_3.5.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag3"
14,2013-10-01,"target, EX_ENER_BP_new, G_AVG_3.5.Bank_rate_lag2, EX_METAL_BP_new, G_AVG_5.10.Bank_rate_lag2, EMP_MANU_CAN, G_AVG_3.5.Bank_rate_lag1, G_AVG_5.10.Bank_rate_lag3"
15,2013-11-01,"target, EX_ENER_BP_new, G_AVG_3.5.Bank_rate_lag2, EMP_MANU_CAN, G_AVG_5.10.Bank_rate_lag2, TSX_LO_lag1, G_AVG_5.10.Bank_rate_lag3, EX_METAL_BP_new"
16,2013-12-01,"target, EX_ENER_BP_new, G_AVG_3.5.Bank_rate_lag2, EMP_MANU_CAN, G_AVG_5.10.Bank_rate_lag2, TSX_LO_lag1, G_AVG_5.10.Bank_rate_lag3, UNEMP_DURA_1.4_CAN"
17,2014-01-01,"target, EX_ENER_BP_new, G_AVG_3.5.Bank_rate_lag2, TSX_LO_lag1, G_AVG_5.10.Bank_rate_lag2, UNEMP_DURA_1.4_CAN, G_AVG_5.10.Bank_rate_lag3, G_AVG_3.5.Bank_rate_lag3"
18,2014-02-01,"target, EX_ENER_BP_new, G_AVG_3.5.Bank_rate_lag2, TSX_LO_lag1, UNEMP_DURA_1.4_CAN, G_AVG_5.10.Bank_rate_lag2, TBILL_6M.Bank_rate_lag1, G_AVG_5.10.Bank_rate_lag3"
19,2014-03-01,"target, EX_ENER_BP_new, TSX_LO_lag1, G_AVG_3.5.Bank_rate_lag2, TBILL_6M.Bank_rate_lag1, UNEMP_DURA_1.4_CAN, TSX_HI_lag1, G_AVG_3.5.Bank_rate_lag3"
20,2014-04-01,"target, EX_ENER_BP_new, TSX_LO_lag1, G_AVG_3.5.Bank_rate_lag2, TSX_HI, G_AVG_3.5.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag2, G_AVG_5.10.Bank_rate_lag3"
21,2014-05-01,"target, EX_ENER_BP_new, G_AVG_3.5.Bank_rate_lag2, TSX_LO_lag1, TSX_HI_lag1, G_AVG_5.10.Bank_rate_lag2, G_AVG_3.5.Bank_rate_lag3, G_AVG_5.10.Bank_rate_lag3"
22,2014-06-01,"target, EX_ENER_BP_new, TSX_HI_lag1, TSX_LO_lag1, TBILL_6M.Bank_rate_lag1, EX_METAL_BP_new, IPPI_MACH_CAN_lag1, G_AVG_3.5.Bank_rate_lag2"
