sstart,ssample_end_date,selected_features
54,2017-02-01,"target, Audi_lag1, NHOUSE_P_CAN_lag1, TBILL_3M_lag1, TBILL_6M.Bank_rate_lag1, TBILL_6M_lag1, Army_lag3, EMP_FOR_OIL_CAN_lag2"
55,2017-03-01,"target, Audi_lag1, Army_lag3, NHOUSE_P_CAN_lag1, TBILL_3M_lag1, TBILL_6M.Bank_rate_lag1, TBILL_6M_lag1, TBILL_3M_lag2"
56,2017-04-01,"target, Audi_lag1, Food.Service_lag1, Army_lag3, TBILL_6M.Bank_rate_lag1, G_AVG_5.10.Bank_rate, EX_TRANSP_BP_new_lag3, NHOUSE_P_CAN_lag1"
57,2017-05-01,"target, Audi_lag1, Army_lag3, Food.Service_lag1, G_AVG_5.10.Bank_rate, TBILL_6M.Bank_rate_lag1, EOIL_BP_new_lag2, G_AVG_3.5.Bank_rate"
58,2017-06-01,"target, Audi_lag1, Army_lag3, Food.Service_lag1, TBILL_6M.Bank_rate_lag1, EOIL_BP_new_lag2, G_AVG_5.10.Bank_rate, EX_TRANSP_BP_new_lag3"
59,2017-07-01,"target, Audi_lag1, Army_lag3, G_AVG_5.10.Bank_rate, DUR_INV_RAT_new, G_AVG_3.5.Bank_rate, build_Total_CAN_new_lag1, G_AVG_10p.TBILL_3M"
60,2017-08-01,"target, Audi_lag1, WTISPLC_lag1, G_AVG_5.10.Bank_rate, G_AVG_3.5.Bank_rate, IPPI_ENER_CAN_lag1, IPPI_MACH_CAN_lag1, EOIL_BP_new_lag2"
61,2017-09-01,"target, Audi_lag1, WTISPLC_lag1, G_AVG_5.10.Bank_rate, G_AVG_3.5.Bank_rate, DUR_INV_RAT_new, IPPI_MACH_CAN_lag1, G_AVG_10p.TBILL_3M"
62,2017-10-01,"target, Audi_lag1, EOIL_BP_new_lag2, WTISPLC_lag1, G_AVG_5.10.Bank_rate, IMP_TRANSP_BP_new_lag3, EX_TRANSP_BP_new_lag3, DUR_INV_RAT_new"
63,2017-11-01,"target, Audi_lag1, EOIL_BP_new_lag2, WTISPLC_lag1, IMP_TRANSP_BP_new_lag3, EX_TRANSP_BP_new_lag3, Electricity_lag1, G_AVG_5.10.Bank_rate"
64,2017-12-01,"target, Audi_lag1, EX_TRANSP_BP_new_lag3, IMP_TRANSP_BP_new_lag3, WTISPLC_lag1, EOIL_BP_new_lag2, GOOD_HRS_CAN_lag3, GOV_AVG_5_10Y_lag1"
65,2018-01-01,"target, Audi_lag1, EX_TRANSP_BP_new_lag3, WTISPLC_lag1, IMP_TRANSP_BP_new_lag3, EOIL_BP_new_lag2, GOOD_HRS_CAN_lag3, IPPI_ENER_CAN_lag1"
66,2018-02-01,"target, Audi_lag1, IMP_TRANSP_BP_new_lag3, EX_TRANSP_BP_new_lag3, GOOD_HRS_CAN_lag3, GOV_AVG_5_10Y_lag1, EOIL_BP_new_lag2, WTISPLC_lag1"
67,2018-03-01,"target, Audi_lag1, IMP_TRANSP_BP_new_lag3, EX_TRANSP_BP_new_lag3, GOV_AVG_5_10Y_lag1, GOOD_HRS_CAN_lag3, GOV_AVG_3_5Y_lag1, GOV_AVG_10pY_lag1"
68,2018-04-01,"target, IMP_TRANSP_BP_new_lag3, GOOD_HRS_CAN_lag3, Small.business_lag3, Audi_lag1, GOV_AVG_5_10Y_lag1, EX_TRANSP_BP_new_lag3, GOV_AVG_10pY_lag1"
69,2018-05-01,"target, IMP_TRANSP_BP_new_lag3, GOOD_HRS_CAN_lag3, EX_TRANSP_BP_new_lag3, Small.business_lag3, GOV_AVG_5_10Y_lag1, Audi_lag1, GOV_AVG_10pY_lag1"
70,2018-06-01,"target, IMP_TRANSP_BP_new_lag3, Small.business_lag3, GOV_AVG_5_10Y_lag1, GOOD_HRS_CAN_lag3, GOV_AVG_10pY_lag1, EMP_SERV_CAN_lag2, TBILL_6M.Bank_rate_lag1"
71,2018-07-01,"target, IMP_TRANSP_BP_new_lag3, GOOD_HRS_CAN_lag3, Small.business_lag3, GOV_AVG_5_10Y_lag1, Audi_lag1, EMP_SERV_CAN_lag2, GOV_AVG_10pY_lag1"
72,2018-08-01,"target, IMP_TRANSP_BP_new_lag3, GOV_AVG_5_10Y_lag1, Small.business_lag3, EMP_SERV_CAN_lag2, G_AVG_1.3.Bank_rate_lag1, GOV_AVG_10pY_lag1, TBILL_6M.Bank_rate_lag1"
