sstart,ssample_end_date,selected_features
60,2017-08-01,"target, UNEMP_CAN_lag3, TOT_HRS_CAN_lag2, EMP_FIN_CAN_lag3, Finance...11_lag2, Finance...30_lag2, RES_USD_lag3, CRED_BUS_cb_lag3"
61,2017-09-01,"target, UNEMP_CAN_lag3, Finance...11_lag2, Finance...30_lag2, TOT_HRS_CAN_lag2, Volvo_lag3, EMP_FIN_CAN_lag3, RES_USD_lag3"
62,2017-10-01,"target, Finance...11_lag2, Finance...30_lag2, UNEMP_CAN_lag3, EMP_FIN_CAN_lag3, Volvo_lag3, unemployment_lag3, RES_USD_lag3"
63,2017-11-01,"target, Finance...30_lag2, Finance...11_lag2, UNEMP_CAN_lag3, RES_USD_lag3, Volvo_lag3, Mining_lag2, IMP_CONS_BP_new_lag2"
64,2017-12-01,"target, Finance...11_lag2, Finance...30_lag2, UNEMP_CAN_lag3, IMP_CONS_BP_new_lag2, Mining_lag2, GOV_AVG_3_5Y_lag3, build_Total_CAN_new_lag2"
65,2018-01-01,"target, Finance...30_lag2, Finance...11_lag2, UNEMP_CAN_lag3, Volvo_lag3, IMP_CONS_BP_new_lag2, CPI_SERV_CAN_lag1, GOV_AVG_3_5Y_lag3"
66,2018-02-01,"target, Finance...30_lag2, Finance...11_lag2, UNEMP_CAN_lag3, Volvo_lag3, GOV_AVG_3_5Y_lag3, IMP_CONS_BP_new_lag2, trade_lag1"
67,2018-03-01,"target, Finance...30_lag2, Finance...11_lag2, UNEMP_CAN_lag3, GOV_AVG_3_5Y_lag3, GOV_AVG_1_3Y_lag3, Volvo_lag3, CLAIMS_CAN_lag1"
68,2018-04-01,"target, Finance...30_lag2, Finance...11_lag2, GOV_AVG_3_5Y_lag3, GOV_AVG_1_3Y_lag3, UNEMP_CAN_lag3, hstart_CAN_new, GOV_AVG_5_10Y_lag3"
69,2018-05-01,"target, Finance...30_lag2, Finance...11_lag2, GOV_AVG_3_5Y_lag3, GOV_AVG_1_3Y_lag3, UNEMP_CAN_lag3, MORTG_1Y_lag2, RES_USD_lag3"
70,2018-06-01,"target, UNEMP_CAN_lag3, Finance...11_lag2, Finance...30_lag2, GOV_AVG_3_5Y_lag3, GOV_AVG_1_3Y_lag3, build_Total_CAN_new_lag2, CPI_SERV_CAN_lag1"
