sstart,ssample_end_date,selected_features
54,2017-02-01,"target, EMP_FOR_OIL_CAN_lag1, UNEMP_CAN_lag3, WTISPLC_lag3, EX_ENER_BP_new_lag1, CPI_HEA_CAN_lag1, IOIL_BP_new_lag2, JPYCAD_new_lag3"
55,2017-03-01,"target, EMP_FOR_OIL_CAN_lag1, CPI_HEA_CAN_lag1, UNEMP_CAN_lag3, JPYCAD_new_lag3, WTISPLC_lag3, CPI_SHEL_CAN_lag1, RES_USD"
56,2017-04-01,"target, JPYCAD_new_lag3, CPI_HEA_CAN_lag1, WTISPLC_lag3, UNEMP_CAN_lag3, UNEMP_CAN, CPI_GOO_CAN_lag1, EX_ENER_BP_new_lag1"
57,2017-05-01,"target, CPI_HEA_CAN_lag1, WTISPLC_lag3, UNEMP_CAN, JPYCAD_new_lag3, WTISPLC_lag2, IPPI_MOTOR_CAN_lag3, UNEMP_CAN_lag3"
58,2017-06-01,"target, CPI_HEA_CAN_lag1, UNEMP_CAN, WTISPLC_lag3, WTISPLC_lag2, IOIL_BP_new_lag2, JPYCAD_new_lag3, IPPI_MACH_CAN_lag3"
59,2017-07-01,"target, IPPI_MACH_CAN_lag3, JPYCAD_new_lag3, IPPI_MOTOR_CAN_lag3, WTISPLC_lag3, CPI_HEA_CAN_lag1, UNEMP_CAN, IOIL_BP_new_lag2"
60,2017-08-01,"target, IOIL_BP_new_lag2, WTISPLC_lag2, IPPI_MACH_CAN_lag3, UNEMP_CAN, IPPI_MOTOR_CAN_lag3, JPYCAD_new_lag3, CPI_HEA_CAN_lag1"
61,2017-09-01,"target, IOIL_BP_new_lag2, WTISPLC_lag2, IPPI_MACH_CAN_lag3, UNEMP_CAN, IPPI_MOTOR_CAN_lag3, JPYCAD_new_lag3, CPI_HEA_CAN_lag1"
62,2017-10-01,"target, IPPI_MACH_CAN_lag3, CPI_HEA_CAN_lag1, IPPI_MOTOR_CAN_lag3, UNEMP_CAN, IOIL_BP_new_lag2, USDCAD_new_lag3, WTISPLC_lag3"
63,2017-11-01,"target, IPPI_MACH_CAN_lag3, UNEMP_CAN, IPPI_MOTOR_CAN_lag3, CPI_HEA_CAN_lag1, IOIL_BP_new_lag2, USDCAD_new_lag3, WTISPLC_lag3"
64,2017-12-01,"target, IPPI_MACH_CAN_lag3, IPPI_MOTOR_CAN_lag3, IOIL_BP_new_lag2, UNEMP_CAN, RES_USD, CPI_HEA_CAN_lag1, USDCAD_new_lag3"
65,2018-01-01,"target, IPPI_MACH_CAN_lag3, IPPI_MOTOR_CAN_lag3, IOIL_BP_new_lag2, RES_USD, GOV_AVG_3_5Y, CPI_HEA_CAN_lag1, UNEMP_CAN"
66,2018-02-01,"target, IOIL_BP_new_lag2, RES_USD, CPI_HEA_CAN_lag1, GOV_AVG_3_5Y, GOV_AVG_5_10Y, UNEMP_DURA_27._CAN_lag3, IPPI_MACH_CAN_lag3"
67,2018-03-01,"target, IOIL_BP_new_lag2, CPI_HEA_CAN_lag1, UNEMP_DURA_27._CAN_lag3, UNEMP_CAN, GOV_AVG_3_5Y, IPPI_MACH_CAN_lag3, RES_USD"
68,2018-04-01,"target, IOIL_BP_new_lag2, CPI_HEA_CAN_lag1, UNEMP_DURA_27._CAN_lag3, UNEMP_CAN, Imp_BP_new_lag3, EX_TRANSP_BP_new_lag3, IPPI_MOTOR_CAN_lag3"
69,2018-05-01,"target, IOIL_BP_new_lag2, CPI_HEA_CAN_lag1, UNEMP_DURA_27._CAN_lag3, UNEMP_CAN, Imp_BP_new_lag3, CAN_EQTY_NETFLOW_lag2, EX_TRANSP_BP_new_lag3"
70,2018-06-01,"target, IOIL_BP_new_lag2, CPI_HEA_CAN_lag1, UNEMP_CAN, UNEMP_DURA_27._CAN_lag3, CAN_EQTY_NETFLOW_lag2, EX_MINER_BP_new_lag1, UNEMP_CAN_lag1"
